Label	x	y	claim	opposite_auto
0	0	0	School Day Should Be Extended	 enough fundng...
0	0	0	Raise The School Leaving Age To 18	 all skills are best learnt in a classroom environment.
0	0	0	Raise The School Leaving Age To 18	The classroom environment is ideal for all lessons.
0	0	0	Raise The School Leaving Age To 18	 everyone is good at studying
0	0	0	Raise The School Leaving Age To 18	We should force people to study if they aren't good at it and choose not to.
0	0	0	Raise The School Leaving Age To 18	 everyone is good academically
0	0	0	Raise The School Leaving Age To 18	some people are good at studying
0	0	0	Make all museums free of charge	We should expect the state to fund museums
1	0	0	Chess must be at the Olympics	Chess is currently an Olympic sport, but it should be.
0	0	0	Chess must be at the Olympics	Chess can ensure fair play
1	0	0	The Catholic Church needs reform	It currently promotes loyalty to the institution the laity
1	0	0	The Catholic Church needs reform	Currently the Catholic Chuch focuses on loyalty to the church itself, those they serve.
1	0	0	The Catholic Church needs reform	The Catholic Church wants loyalty to institution, to the common man.
1	0	0	The Catholic Church needs reform	If priests were forced to be celibate, the issue of child rate would not be as widespread.
0	0	0	Positive Discrimination Towards Women in Society Is Justified	Positive discrimination towards women should be allowed
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It is Men, Women, who are Disadvantaged in our Society
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It does address the underlying issues
0	0	0	 College education is worth it	Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees.
0	0	0	 College education is worth it	The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated.
0	0	0	 College education is worth it	Many college graduates are employed in jobs that do require college degrees.
0	0	0	 College education is worth it	Many people with college degrees find themselves working in positions in which their degrees are a requirement.
0	0	0	 College education is worth it	More and more college educated people are accepting jobs for which they do need a college education.
0	0	0	 College education is worth it	College degrees do guarantee learning or job preparation.
0	0	0	 College education is worth it	Acquiring a degree does guarantee you a job.
1	0	0	College football should replace the bowl championship series (BCS)	A playoff system would mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.
1	0	0	Pensions should be privatised	Government pension schemes are a viable or sustainable option.
0	0	0	Pensions should be privatised	senior citizens should and cannot be exposed to such naked risk on moral grounds
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports can be justified by reference to their role in pest control or conservation
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports are justified by their role in pest control or conservation.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	The need for pest control or conservation does justify blood sports.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Pest control or conservation arguments does rationalize our use of animals as objects in blood sports.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	The use of animals as objects in blood sports can be justified by the week argument that it provides benefit through pest control or conservation.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Animals are percieved as part of the moral community when they are treated as property.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Animals should be treated as objects or property as doing so allows them to be treated amorally.
1	0	0	The use of animals as objects of sport and entertainment should be banned.	It is possible to harmlessly have animals as entertainment
1	0	0	The use of animals as objects of sport and entertainment should be banned.	It is moral to hurt animals for entertainment
1	0	0	Puerto Rico should seek American statehood	English is a problem for Puerto Rican statehood
0	0	0	Puerto Rico should seek American statehood	Puerto Rican statehood is economical for the US
0	0	0	Puerto Rico should seek American statehood	Puerto Rican statehood will benefit the US economically.
0	0	0	Puerto Rico should seek American statehood	Making Puerto Rico a state is a good economic decision for the US.
0	0	0	Puerto Rico should seek American statehood	It would be better for the US if Puerto Rico does become a state.
