Label	x	y	claim	perspective	opposite_perspective
0	0	0	School Day Should Be Extended	Not enough fundng...	 enough fundng...
0	0	0	Raise The School Leaving Age To 18	Not all skills are best learnt in a classroom environment.	 all skills are best learnt in a classroom environment.
0	0	0	Raise The School Leaving Age To 18	The classroom environment is not ideal for all lessons.	The classroom environment is ideal for all lessons.
0	0	0	Raise The School Leaving Age To 18	Not everyone is good at studying	 everyone is good at studying
0	0	0	Raise The School Leaving Age To 18	We shouldn't force people to study if they aren't good at it and choose not to.	We should force people to study if they aren't good at it and choose not to.
0	0	0	Raise The School Leaving Age To 18	not everyone is good academically	 everyone is good academically
0	0	0	Raise The School Leaving Age To 18	some people are not good at studying	some people are good at studying
0	0	0	Make all museums free of charge	We should not expect the state to fund museums	We should expect the state to fund museums
1	0	0	Chess must be at the Olympics	Chess is currently not an Olympic sport, but it should be.	Chess is currently an Olympic sport, but it should be.
0	0	0	Chess must be at the Olympics	Chess cannot ensure fair play	Chess can ensure fair play
1	0	0	The Catholic Church needs reform	It currently promotes loyalty to the institution not the laity	It currently promotes loyalty to the institution the laity
1	0	0	The Catholic Church needs reform	Currently the Catholic Chuch focuses on loyalty to the church itself, not those they serve.	Currently the Catholic Chuch focuses on loyalty to the church itself, those they serve.
1	0	0	The Catholic Church needs reform	The Catholic Church wants loyalty to institution, not to the common man.	The Catholic Church wants loyalty to institution, to the common man.
1	0	0	The Catholic Church needs reform	If priests were not forced to be celibate, the issue of child rate would not be as widespread.	If priests were forced to be celibate, the issue of child rate would not be as widespread.
0	0	0	Positive Discrimination Towards Women in Society Is Justified	Positive discrimination towards women should not be allowed	Positive discrimination towards women should be allowed
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It is Men, Not Women, who are Disadvantaged in our Society	It is Men, Women, who are Disadvantaged in our Society
0	0	0	Positive Discrimination Towards Women in Society Is Justified	It does not address the underlying issues	It does address the underlying issues
0	0	0	 College education is worth it	Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. 	Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees.
0	0	0	 College education is worth it	The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.	The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated.
0	0	0	 College education is worth it	Many college graduates are employed in jobs that do not require college degrees.	Many college graduates are employed in jobs that do require college degrees.
0	0	0	 College education is worth it	Many people with college degrees find themselves working in positions in which their degrees are not a requirement. 	Many people with college degrees find themselves working in positions in which their degrees are a requirement.
0	0	0	 College education is worth it	More and more college educated people are accepting jobs for which they do not need a college education. 	More and more college educated people are accepting jobs for which they do need a college education.
0	0	0	 College education is worth it	College degrees do not guarantee learning or job preparation.	College degrees do guarantee learning or job preparation.
0	0	0	 College education is worth it	Acquiring a degree does not guarantee you a job.	Acquiring a degree does guarantee you a job.
1	0	0	College football should replace the bowl championship series (BCS)	A playoff system would not mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.	A playoff system would mean the end of the BCS rankings, which could still be used to determine the top 4, 8, 12, or 16 teams, depending on how many playoff games are feasible.
1	0	0	Pensions should be privatised	Government pension schemes are not a viable or sustainable option.	Government pension schemes are a viable or sustainable option.
0	0	0	Pensions should be privatised	senior citizens should not and cannot be exposed to such naked risk on moral grounds	senior citizens should and cannot be exposed to such naked risk on moral grounds
1	0	0	The use of animals as objects of sport and entertainment should be banned.	Blood sports cannot be justified by reference to their role in pest control or conservation	Blood sports can be justified by reference to their role in pest control or conservation
